ontem	33
tava	53
conseguindo	5
engolir	2
água	31
hoje	45
sei	32
veia	30
tô	92
muita	43
toma	139
então	26
soninho	4
bom	62
alergia	70
graças	8
tontura	25
vim	2
starbucks	1
incrível	1
roacutan	2
antidepressivo	9
voltei	3
remédio	144
p	150
cólica	50
pra	807
pressão	12
baixa	27
anemia	4
so	17
to	137
nervosa	7
pq	138
efeitos	21
colaterais	18
chatos	4
bem	46
piores	4
formigamento	4
mãos	3
topiramato	9
tão	34
desgraçado	1
q	232
jogando	3
dormir	47
873485345	1
horas	15
dopada	3
maldita	12
febre	55
absurda	3
tomo	83
fez	22
abaixar	3
irmão	4
acima	7
600	14
poderia	1
entrar	19
explica	9
entao	3
acabei	8
tomar	284
rivotril	26
melhora	23
dor	321
time	4
domperidona	2
ricino	10
cabelo	25
cheiro	14
forte	37
estar	22
dando	35
alguém	22
conhece	1
mãe	21
sumatriptano	1
age	4
rápido	24
dá	88
menos	24
efeito	55
colateral	9
pode	94
curar	12
terrível	6
joelho	2
passou	35
gravidez	3
tomava	18
conseguia	4
levantar	2
passei	8
spray	1
nunca	19
ibuprofeno	77
aq	7
derretendo	1
nesse	15
controle	16
glicose	25
simples	4
receita	13
http	75
vibe5	2
saude	6
adeus	7
inchaco	3
estômago	133
oq	13
mim	30
causa	120
tendência	1
piorar	6
cirurgia	3
tomei	194
dois	40
olho	9
ta	75
inchado	5
kkkkkkkkkkkkk	1
grande	7
outro	17
pequeno	1
deu	63
dipirona	123
posso	35
4	19
2	81
lyrica	6
1	61
carbamazepina	9
ainda	90
o.	15
levantei	9
corpo	43
vulgo	2
amor	13
passo	13
quarto	3
escuro	2
intensa	7
vertigem	2
acho	60
ser	67
conta	13
diminuíram	1
faz	48
mês	10
n	88
rosto	13
gel	4
comprar	8
protegor	2
anti	31
usar	10
nada	73
creme	11
fico	28
relaxante	7
muscular	15
550	2
mg	47
naproxeno	12
tratei	2
logo	29
t	4
crises	11
amanhã	16
sentir	33
tá	105
sangue	30
ideal	4
causaram	2
milhões	2
mortes	3
aumentar	11
risco	9
doença	43
cardiovascular	2
molina	1
ent	2
nao	72
remedio	33
colica	4
aprender	1
viver	6
vicia	20
indo	5
garganta	86
inflamada	2
pois	23
levar	8
pessoa	17
coma	8
ter	93
lesões	2
cerebrais	2
irreversíveis	2
vivem	2
base	15
ataca	11
sinusite	13
viciado	1
